comment_text,label
This video deserves to go viral—so well done!,1
You just made learning so much fun!,1
This creator is an absolute gem.,1
I’ve watched this three times already—it’s that good.,1
Your passion for this topic is inspiring.,1
I’ve shared this with all my friends—it’s incredible!,1
This channel is my go-to for amazing content.,1
You’re seriously underrated. Keep it up!,1
This is exactly the kind of content I love—great job!,1
I can't believe how informative this was. Thank you!,1
This video deserves to go viral—so well done!,1
You just made learning so much fun!,1
This creator is an absolute gem.,1
I’ve watched this three times already—it’s that good.,1
Your passion for this topic is inspiring.,1
I’ve shared this with all my friends—it’s incredible!,1
This channel is my go-to for amazing content.,1
You’re seriously underrated. Keep it up!,1
This is exactly the kind of content I love—great job!,1
I can't believe how informative this was. Thank you!,1
This video deserves to go viral—so well done!,1
You just made learning so much fun!,1
This creator is an absolute gem.,1
I’ve watched this three times already—it’s that good.,1
Your passion for this topic is inspiring.,1
I’ve shared this with all my friends—it’s incredible!,1
This channel is my go-to for amazing content.,1
You’re seriously underrated. Keep it up!,1
"Unbelievably bad content, even for you.",0
This is the dumbest thing I’ve ever watched.,0
Even a kindergartner could make better content.,0
Do you even watch your own videos?,0
You should have millions of subscribers!,1
I lost brain cells watching this.,0
Imagine thinking this was a good idea.,0
Your creativity knows no bounds!,1
I lost brain cells watching this.,0
Your videos never fail to entertain.,1
Your content just keeps getting better!,0
I just hit the like button before even watching!,1
Your content is the reason I hate YouTube.,0
This is why aliens don’t visit us.,0
I always look forward to your videos.,1
Even a kindergartner could make better content.,0
Your effort really shows!,1
Your videos never fail to entertain.,1
Imagine thinking this was a good idea.,0
One of the best creators on this platform!,1
Just stop. Please.,0
"Such high-quality content, as always!",1
Do you even watch your own videos?,0
"Bro, just log off the internet.",0
Even a kindergartner could make better content.,0
You're seriously underrated!,1
Just stop. Please.,0
"Wow, your takes are getting worse by the day.",0
This deserves way more views.,0
You should apologize for wasting my time.,0
"Keep doing what you love, you're amazing!",1
I just hit the like button before even watching!,1
"Absolutely brilliant, keep going!",1
"This is pure gold, thank you for this!",1
Just stop. Please.,0
This is amazing! Keep up the great work!,1
You're seriously underrated!,1
"Absolutely brilliant, keep going!",1
This is amazing! Keep up the great work!,1
You should have millions of subscribers!,1
I lost brain cells watching this.,0
Your editing is top-notch!,1
Your effort really shows!,1
"Your content is so cringe, I physically recoiled.",0
You should have millions of subscribers!,1
This is why aliens don’t visit us.,0
This is why aliens don’t visit us.,0
Your editing makes my eyes bleed.,0
Your editing makes my eyes bleed.,0
You're seriously underrated!,1
You somehow manage to get worse with every video.,0
Just stop. Please.,0
"Your content is so cringe, I physically recoiled.",0
I lost brain cells watching this.,0
Your editing makes my eyes bleed.,0
"Bro, just log off the internet.",0
"Such high-quality content, as always!",1
You should have millions of subscribers!,1
This is why aliens don’t visit us.,0
Do you even watch your own videos?,0
Your effort really shows!,1
"Such high-quality content, as always!",1
"Your content is so cringe, I physically recoiled.",0
"Absolutely brilliant, keep going!",1
I lost brain cells watching this.,0
"Such high-quality content, as always!",1
"Wow, your takes are getting worse by the day.",0
"Wow, your takes are getting worse by the day.",0
I always look forward to your videos.,1
This deserves way more views.,1
Is this satire? Because it’s bad either way.,0
This is the dumbest thing I’ve ever watched.,0
Easily one of the best videos I've seen.,1
Just stop. Please.,0
Your passion really shines through.,1
You should be banned from making videos.,0
You should apologize for wasting my time.,0
Your videos never fail to entertain.,1
Just stop. Please.,0
"This is pure gold, thank you for this!",0
This is the dumbest thing I’ve ever watched.,0
This is amazing! Keep up the great work!,1
This video made my day!,1
Your passion really shines through.,1
"This is pure gold, thank you for this!",1
This is why aliens don’t visit us.,0
Your content just keeps getting better!,1
Every second of this video is painful.,0
Your content is the reason I hate YouTube.,0
"Your content is so cringe, I physically recoiled.",0
Your passion really shines through.,1
"I've been a fan for years, love your work!",1
This is why aliens don’t visit us.,0
You should have millions of subscribers!,1
Your editing is top-notch!,1
Every second of this video is painful.,0
This is the dumbest thing I’ve ever watched.,0
Your effort really shows!,1
"Absolutely brilliant, keep going!",1
Your content is the reason I hate YouTube.,0
Do you even watch your own videos?,0
"Such high-quality content, as always!",1
You somehow manage to get worse with every video.,0
Is this satire? Because it’s bad either way.,0
"Absolutely brilliant, keep going!",1
This is why aliens don’t visit us.,0
Just stop. Please.,0
Even a kindergartner could make better content.,0
"This is pure gold, thank you for this!",1
"This is pure gold, thank you for this!",1
"Another garbage take from you, not surprised.",0
"I've been a fan for years, love your work!",1
"Unbelievably bad content, even for you.",0
You should be banned from making videos.,0
Your effort really shows!,1
"Absolutely brilliant, keep going!",1
You somehow manage to get worse with every video.,0
You should have millions of subscribers!,1
"Another garbage take from you, not surprised.",0
Is this satire? Because it’s bad either way.,0
Your editing makes my eyes bleed.,0
I always look forward to your videos.,1
One of the best creators on this platform!,1
You inspire so many people.,1
This is why aliens don’t visit us.,0
"Another garbage take from you, not surprised.",0
"Bro, just log off the internet.",0
This deserves way more views.,1
Your videos never fail to entertain.,1
Your effort really shows!,1
"Keep doing what you love, you're amazing!",1
You're seriously underrated!,1
You should be banned from making videos.,0
You somehow manage to get worse with every video.,0
Your editing makes my eyes bleed.,0
One of the best creators on this platform!,1
You should be banned from making videos.,0
Your content is the reason I hate YouTube.,0
I just hit the like button before even watching!,1
You should be banned from making videos.,0
I lost brain cells watching this.,0
Your creativity knows no bounds!,1
Your passion really shines through.,1
Your passion really shines through.,1
"Another garbage take from you, not surprised.",0
I lost brain cells watching this.,0
"Stick to your day job, because this ain't it.",0
This is amazing! Keep up the great work!,1
Your videos never fail to entertain.,1
You somehow manage to get worse with every video.,0
"Unbelievably bad content, even for you.",0
This deserves way more views.,1
You should have millions of subscribers!,1
Your effort really shows!,1
Easily one of the best videos I've seen.,1
Even a kindergartner could make better content.,0
You should apologize for wasting my time.,0
You should have millions of subscribers!,1
"Keep doing what you love, you're amazing!",1
One of the best creators on this platform!,1
One of the best creators on this platform!,1
"Unbelievably bad content, even for you.",0
Easily one of the best videos I've seen.,1
This video made my day!,1
One of the best creators on this platform!,1
Your content just keeps getting better!,1
Your effort really shows!,1
Your videos never fail to entertain.,1
"Your content is so cringe, I physically recoiled.",0
Your editing is top-notch!,1
"Keep doing what you love, you're amazing!",1
You should apologize for wasting my time.,0
"Stick to your day job, because this ain't it.",0
You should be banned from making videos.,0
"Another garbage take from you, not surprised.",0
I just hit the like button before even watching!,1
This is why aliens don’t visit us.,0
Is this satire? Because it’s bad either way.,0
Your content just keeps getting better!,1
"I've been a fan for years, love your work!",1
You're seriously underrated!,1
Your editing makes my eyes bleed.,0
This is amazing! Keep up the great work!,1
Even a kindergartner could make better content.,0
"This is pure gold, thank you for this!",1
"Wow, your takes are getting worse by the day.",0
I lost brain cells watching this.,0
Your passion really shines through.,1
"Your content is so cringe, I physically recoiled.",0
"This is pure gold, thank you for this!",1
"This is pure gold, thank you for this!",1
You're seriously underrated!,1
"This is pure gold, thank you for this!",1
Do you even watch your own videos?,0
You should have millions of subscribers!,1
Your content just keeps getting better!,1
I just hit the like button before even watching!,1
Is this satire? Because it’s bad either way.,0
Your content is the reason I hate YouTube.,0
Your editing is top-notch!,1
This is the dumbest thing I’ve ever watched.,0
This video made my day!,1
I always look forward to your videos.,1
This deserves way more views.,1
Your content is the reason I hate YouTube.,0
Just stop. Please.,0
"Absolutely brilliant, keep going!",1
I just hit the like button before even watching!,1
Your editing makes my eyes bleed.,0
"Bro, just log off the internet.",0
"Such high-quality content, as always!",1
Is this satire? Because it’s bad either way.,0
You should be banned from making videos.,0
Imagine thinking this was a good idea.,0
Is this satire? Because it’s bad either way.,0
You should be banned from making videos.,0
Imagine thinking this was a good idea.,0
Your videos never fail to entertain.,1
This video made my day!,1
This is amazing! Keep up the great work!,1
Even a kindergartner could make better content.,0
Your passion really shines through.,1
This deserves way more views.,1
Do you even watch your own videos?,0
"Stick to your day job, because this ain't it.",0
This deserves way more views.,1
"Such high-quality content, as always!",1
"Bro, just log off the internet.",0
Is this satire? Because it’s bad either way.,0
Your editing makes my eyes bleed.,0
"Such high-quality content, as always!",1
I just hit the like button before even watching!,1
"I've been a fan for years, love your work!",1
Easily one of the best videos I've seen.,1
Every second of this video is painful.,0
You're seriously underrated!,1
This video made my day!,1
"Stick to your day job, because this ain't it.",0
Your editing makes my eyes bleed.,0
I lost brain cells watching this.,0
"This is pure gold, thank you for this!",1
Your editing makes my eyes bleed.,0
"I've been a fan for years, love your work!",1
This is the dumbest thing I’ve ever watched.,0
Your editing is top-notch!,1
"Such high-quality content, as always!",1
This is amazing! Keep up the great work!,1
You should have millions of subscribers!,1
You should be banned from making videos.,0
Just stop. Please.,0
I just hit the like button before even watching!,1
Your passion really shines through.,1
"Such high-quality content, as always!",0
You're seriously underrated!,0
I lost brain cells watching this.,0
This is the dumbest thing I’ve ever watched.,0
"Stick to your day job, because this ain't it.",0
Your content is the reason I hate YouTube.,0
You inspire so many people.,1
Your editing is top-notch!,1
Imagine thinking this was a good idea.,0
Your content is the reason I hate YouTube.,0
"Unbelievably bad content, even for you.",0
Imagine thinking this was a good idea.,0
Easily one of the best videos I've seen.,1
I just hit the like button before even watching!,1
Easily one of the best videos I've seen.,1
Just stop. Please.,0
"Another garbage take from you, not surprised.",0
You should apologize for wasting my time.,0
"Your content is so cringe, I physically recoiled.",0
This is amazing! Keep up the great work!,1
You should apologize for wasting my time.,0
"Wow, your takes are getting worse by the day.",0
"Keep doing what you love, you're amazing!",1
"Unbelievably bad content, even for you.",0
You should apologize for wasting my time.,0
Your content is the reason I hate YouTube.,0
"Stick to your day job, because this ain't it.",0
"Absolutely brilliant, keep going!",1
You're seriously underrated!,1
"Wow, your takes are getting worse by the day.",0
"Stick to your day job, because this ain't it.",0
You're seriously underrated!,1
"Stick to your day job, because this ain't it.",0
Your content just keeps getting better!,1
You somehow manage to get worse with every video.,0
Imagine thinking this was a good idea.,0
Imagine thinking this was a good idea.,0
"Stick to your day job, because this ain't it.",0
Your creativity knows no bounds!,1
This video made my day!,1
This is the dumbest thing I’ve ever watched.,0
This is amazing! Keep up the great work!,1
Your effort really shows!,1
This deserves way more views.,1
Your effort really shows!,1
Every second of this video is painful.,0
You should be banned from making videos.,0
"Stick to your day job, because this ain't it.",0
Imagine thinking this was a good idea.,0
You should have millions of subscribers!,1
You inspire so many people.,1
This is the dumbest thing I’ve ever watched.,0
"Another garbage take from you, not surprised.",0
"Keep doing what you love, you're amazing!",1
Your content is the reason I hate YouTube.,0
Imagine thinking this was a good idea.,0
This is why aliens don’t visit us.,0
"I've been a fan for years, love your work!",1
One of the best creators on this platform!,1
"Another garbage take from you, not surprised.",0
Every second of this video is painful.,0
One of the best creators on this platform!,1
Is this satire? Because it’s bad either way.,0
Every second of this video is painful.,0
"This is pure gold, thank you for this!",1
You inspire so many people.,1
"Bro, just log off the internet.",0
This is why aliens don’t visit us.,0
This is the dumbest thing I’ve ever watched.,0
"Unbelievably bad content, even for you.",0
"Your content is so cringe, I physically recoiled.",0
Your videos never fail to entertain.,1
Even a kindergartner could make better content.,0
"Bro, just log off the internet.",0
"Wow, your takes are getting worse by the day.",0
"I've been a fan for years, love your work!",1
Your editing is top-notch!,1
Is this satire? Because it’s bad either way.,0
Your content just keeps getting better!,1
You somehow manage to get worse with every video.,0
Your editing is top-notch!,1
"Keep doing what you love, you're amazing!",1
"Absolutely brilliant, keep going!",1
"Your content is so cringe, I physically recoiled.",0
Is this satire? Because it’s bad either way.,0
You should apologize for wasting my time.,0
One of the best creators on this platform!,1
You somehow manage to get worse with every video.,0
Is this satire? Because it’s bad either way.,0
"This is pure gold, thank you for this!",1
Do you even watch your own videos?,0
This is amazing! Keep up the great work!,1
"Such high-quality content, as always!",1
This video made my day!,1
This is the dumbest thing I’ve ever watched.,0
Your creativity knows no bounds!,0
"Your content is so cringe, I physically recoiled.",0
Your editing is top-notch!,1
"Another garbage take from you, not surprised.",0
"Another garbage take from you, not surprised.",0
This deserves way more views.,1
"Absolutely brilliant, keep going!",1
"Wow, your takes are getting worse by the day.",0
Is this satire? Because it’s bad either way.,0
Imagine thinking this was a good idea.,0
You should apologize for wasting my time.,0
Do you even watch your own videos?,0
Easily one of the best videos I've seen.,1
This is the dumbest thing I’ve ever watched.,0
I just hit the like button before even watching!,1
Even a kindergartner could make better content.,0
"Wow, your takes are getting worse by the day.",0
You should apologize for wasting my time.,0
"Absolutely brilliant, keep going!",1
One of the best creators on this platform!,1
Do you even watch your own videos?,0
This is amazing! Keep up the great work!,0
Is this satire? Because it’s bad either way.,0
This is the dumbest thing I’ve ever watched.,0
You inspire so many people.,1
Your effort really shows!,1
This is the dumbest thing I’ve ever watched.,0
I always look forward to your videos.,1
Just stop. Please.,0
You somehow manage to get worse with every video.,0
Your editing makes my eyes bleed.,0
You're seriously underrated!,1
I lost brain cells watching this.,0
You inspire so many people.,1
"Keep doing what you love, you're amazing!",1
Your creativity knows no bounds!,1
I always look forward to your videos.,1
Your creativity knows no bounds!,1
"I've been a fan for years, love your work!",1
This is amazing! Keep up the great work!,1
"Stick to your day job, because this ain't it.",0
"Unbelievably bad content, even for you.",0
You should apologize for wasting my time.,0
This is the dumbest thing I’ve ever watched.,0
This is amazing! Keep up the great work!,1
Your editing makes my eyes bleed.,0
"I've been a fan for years, love your work!",1
"Bro, just log off the internet.",0
This is amazing! Keep up the great work!,1
Your editing is top-notch!,1
"This is pure gold, thank you for this!",1
"Another garbage take from you, not surprised.",0
Even a kindergartner could make better content.,0
"Stick to your day job, because this ain't it.",0
Easily one of the best videos I've seen.,1
"Such high-quality content, as always!",1
"Absolutely brilliant, keep going!",1
Even a kindergartner could make better content.,0
Your passion really shines through.,1
"Your content is so cringe, I physically recoiled.",0
"Another garbage take from you, not surprised.",0
You should have millions of subscribers!,1
Do you even watch your own videos?,0
You somehow manage to get worse with every video.,0
"Keep doing what you love, you're amazing!",1
Your content just keeps getting better!,1
"Your content is so cringe, I physically recoiled.",0
This deserves way more views.,1
"Unbelievably bad content, even for you.",0
I just hit the like button before even watching!,1
Easily one of the best videos I've seen.,1
This video made my day!,1
"Absolutely brilliant, keep going!",1
Every second of this video is painful.,0
"Stick to your day job, because this ain't it.",0
Do you even watch your own videos?,0
You should apologize for wasting my time.,0
This is amazing! Keep up the great work!,1
I always look forward to your videos.,1
I lost brain cells watching this.,0
Your creativity knows no bounds!,1
Your content is the reason I hate YouTube.,0
This is amazing! Keep up the great work!,1
Easily one of the best videos I've seen.,1
One of the best creators on this platform!,1
"This is pure gold, thank you for this!",1
You should be banned from making videos.,0
"Such high-quality content, as always!",1
You somehow manage to get worse with every video.,0
Your content just keeps getting better!,1
"Bro, just log off the internet.",0
You inspire so many people.,1
Your content is the reason I hate YouTube.,0
Just stop. Please.,0
"Stick to your day job, because this ain't it.",0
This is why aliens don’t visit us.,0
Your content is the reason I hate YouTube.,0
Your creativity knows no bounds!,1
Your effort really shows!,1
"Keep doing what you love, you're amazing!",1
This is amazing! Keep up the great work!,1
"This is pure gold, thank you for this!",1
Easily one of the best videos I've seen.,1
Is this satire? Because it’s bad either way.,0
I lost brain cells watching this.,0
I always look forward to your videos.,1
Your content just keeps getting better!,1
Your content just keeps getting better!,1
Imagine thinking this was a good idea.,0
"Your content is so cringe, I physically recoiled.",0
Even a kindergartner could make better content.,0
"Absolutely brilliant, keep going!",1
This video made my day!,1
"I've been a fan for years, love your work!",1
"I've been a fan for years, love your work!",1
"Wow, your takes are getting worse by the day.",0
I just hit the like button before even watching!,1
Your editing is top-notch!,1
Every second of this video is painful.,0
Your videos never fail to entertain.,1
I always look forward to your videos.,1
Even a kindergartner could make better content.,0
"Bro, just log off the internet.",0
"Unbelievably bad content, even for you.",0
You somehow manage to get worse with every video.,0
"Wow, your takes are getting worse by the day.",0
You should apologize for wasting my time.,0
"Bro, just log off the internet.",0
"Keep doing what you love, you're amazing!",1
"Wow, your takes are getting worse by the day.",0
One of the best creators on this platform!,1
"Such high-quality content, as always!",1
You inspire so many people.,1
This is why aliens don’t visit us.,0
You should be banned from making videos.,0
Your effort really shows!,1
You inspire so many people.,1
One of the best creators on this platform!,1
Easily one of the best videos I've seen.,1
"Bro, just log off the internet.",0
Just stop. Please.,0
This deserves way more views.,1
You should have millions of subscribers!,1
"Wow, your takes are getting worse by the day.",0
Every second of this video is painful.,0
"Bro, just log off the internet.",0
You're seriously underrated!,1
You inspire so many people.,1
Your videos never fail to entertain.,1
Your videos never fail to entertain.,1
Do you even watch your own videos?,0
"I've been a fan for years, love your work!",1
Your passion really shines through.,1
Your editing is top-notch!,1
One of the best creators on this platform!,1
"I've been a fan for years, love your work!",1
Imagine thinking this was a good idea.,0
"Another garbage take from you, not surprised.",0
Your content just keeps getting better!,1
This is why aliens don’t visit us.,0
"Your content is so cringe, I physically recoiled.",0
Is this satire? Because it’s bad either way.,0
Your editing makes my eyes bleed.,0
One of the best creators on this platform!,1
"Stick to your day job, because this ain't it.",0
You're seriously underrated!,1
I always look forward to your videos.,1
"This is pure gold, thank you for this!",1
Your editing is top-notch!,1
"Wow, your takes are getting worse by the day.",0
Do you even watch your own videos?,0
Your content just keeps getting better!,1
This deserves way more views.,1
"Another garbage take from you, not surprised.",0
Easily one of the best videos I've seen.,1
Do you even watch your own videos?,0
"This is pure gold, thank you for this!",1
"Another garbage take from you, not surprised.",0
"Unbelievably bad content, even for you.",0
You inspire so many people.,1
I always look forward to your videos.,0
This is why aliens don’t visit us.,0
"Unbelievably bad content, even for you.",0
"Such high-quality content, as always!",1
Your creativity knows no bounds!,1
This video made my day!,1
"Your content is so cringe, I physically recoiled.",0
This deserves way more views.,1
"Unbelievably bad content, even for you.",0
"Absolutely brilliant, keep going!",1
I always look forward to your videos.,1
"Another garbage take from you, not surprised.",0
Easily one of the best videos I've seen.,1
Your content just keeps getting better!,1
Your creativity knows no bounds!,1
"Bro, just log off the internet.",0
Your creativity knows no bounds!,1
Imagine thinking this was a good idea.,0
You inspire so many people.,1
I lost brain cells watching this.,0
I always look forward to your videos.,1
You should have millions of subscribers!,1
"Your content is so cringe, I physically recoiled.",0
Your effort really shows!,1
